simulationTime[s],incidentID,districtName,districtSafetyLevel,distanceOfSummonedPatrol[m],City
66623,17ccb07f-225e-42f6-9d65-dc591c822aa8,Nowa Huta,NotSafe,1.3958284354910748,Krakow
66624,e22f0999-10dc-4594-96d0-d0c3ec6e85a7,Stare Miasto,NotSafe,1.8241489660474868,Krakow
66732,2fa8c4a4-a7d7-4b8b-983d-7ae16f717a6d,Czyżyny,RatherSafe,0.7378399489999974,Krakow
66759,89cbeea8-ea35-409b-8de2-0d0b07c27cef,Podgórze Duchackie,NotSafe,1.5608325415665592,Krakow
66871,1b2b443f-f3b1-4fce-8eef-8644aae53ffd,Stare Miasto,NotSafe,0.5271519453194837,Krakow
67390,53359643-0125-413f-bef0-162163df3099,Stare Miasto,NotSafe,3.2291688347451992,Krakow
67391,da8747d1-944d-46dd-bad1-d983c883f42f,Stare Miasto,NotSafe,1.8364538378147461,Krakow
67417,8cda6b30-b52c-470e-bc6d-e21cc3a86e98,Nowa Huta,NotSafe,0.2295651718197893,Krakow
67560,a6ed778a-9cf7-4181-b1e4-00826490aeb7,Zwierzyniec,RatherSafe,2.6404837796391685,Krakow
67614,431f7740-1e28-44d2-8a2d-e2996aca6e57,Bronowice,NotSafe,4.957828793888932,Krakow
67683,44cfba0f-25d7-48dd-8060-ebdb4543dc12,Wzgórza Krzesławickie,Safe,3.4546800696007107,Krakow
67820,82624065-cc13-42f2-81bf-a76fb4440bd4,Łagiewniki-Borek Fałęcki,RatherSafe,1.6023260302675344,Krakow
67897,12e1470a-a3f6-44d5-8f74-40e616db913b,Stare Miasto,NotSafe,1.0492396844649294,Krakow
67979,fc72fa84-ad82-45a8-892c-6741498e9e87,Nowa Huta,NotSafe,1.3253096497410657,Krakow
67980,fc72fa84-ad82-45a8-892c-6741498e9e87,Nowa Huta,NotSafe,1.384954853855242,Krakow
67981,fc72fa84-ad82-45a8-892c-6741498e9e87,Nowa Huta,NotSafe,1.3972035993512397,Krakow
67982,fc72fa84-ad82-45a8-892c-6741498e9e87,Nowa Huta,NotSafe,1.9257440505306636,Krakow
68009,e40dc3a2-bfbc-45ea-bba0-6c3a0fe9bc9b,Prądnik Biały,Safe,0.8377572085464745,Krakow
68293,36122dd7-d08b-4736-95df-e3bd6f5c4988,Łagiewniki-Borek Fałęcki,RatherSafe,2.380962568483027,Krakow
68359,c2015566-6c23-487c-a378-ed4994e87d3b,Nowa Huta,NotSafe,2.7724359274166215,Krakow
68386,09a7ed9b-592c-4322-bbd4-20cd817b5307,Grzegórzki,RatherSafe,2.318662955967029,Krakow
68471,d00aa57c-e73f-44f1-8356-205abeac5be5,Bieżanów-Prokocim,Safe,2.2747788080244953,Krakow
68846,a4a05d54-ce45-4177-9c79-79a3fcf52d86,Zwierzyniec,RatherSafe,4.724395509037353,Krakow
68977,b72fe13a-e176-4336-8a7d-ad6bc74e7b68,Bieńczyce,RatherSafe,2.8889036839645543,Krakow
69076,b035e1c1-4e41-4571-a57e-dd09a90f4f5e,Mistrzejowice,RatherSafe,2.354789334718795,Krakow
69106,44cfba0f-25d7-48dd-8060-ebdb4543dc12,Wzgórza Krzesławickie,Safe,3.408400372026993,Krakow
69107,03939618-53ea-4b8b-9795-aa76645b0211,Zwierzyniec,RatherSafe,3.1612282753407808,Krakow
69184,26871bf4-2805-4f23-97da-c44805d0ebaf,Grzegórzki,RatherSafe,1.8872561708965803,Krakow
69324,f2cf2021-5bb4-442f-9528-ee9bd3cfd47b,Nowa Huta,NotSafe,1.258179166828565,Krakow
69501,7138528a-a366-4fd7-981a-99363af685af,Nowa Huta,NotSafe,7.653695019428137,Krakow
69691,e6e01eb6-eb63-437f-8aad-63332f0c9a07,Nowa Huta,NotSafe,1.8437379646885068,Krakow
69692,6820cc8c-c2ad-4416-bf2f-c707e782e11c,Nowa Huta,NotSafe,4.78022019038053,Krakow
69718,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,3.5901496762755905,Krakow
69823,3fdc4cf3-b084-4265-a62d-faee92479fe8,Bronowice,NotSafe,1.593379794900109,Krakow
70051,7762c6c2-0628-4902-a13a-3a3e76587dd6,Bieżanów-Prokocim,Safe,1.173004294990602,Krakow
70104,9902f696-0b16-4d6c-97c6-66370ca1cb72,Bronowice,NotSafe,1.6963736076133509,Krakow
70133,7a401b4c-a2e2-422b-a57f-d4b1a8e73e72,Dębniki,NotSafe,2.282297140345509,Krakow
70292,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,3.3129750139295853,Krakow
70348,7d117d8a-0c8a-4324-8f6e-6751a6c9f223,Bieńczyce,RatherSafe,0.8923472491424158,Krakow
70483,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,3.448962914975304,Krakow
70591,3a6d079e-2c24-418e-b87a-25920a4c4096,Zwierzyniec,RatherSafe,1.445729676322088,Krakow
70620,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,3.3459790516796777,Krakow
70620,ee62fb45-ff22-49d3-954b-4017e8437af4,Swoszowice,Safe,2.604304132819606,Krakow
70647,f65f843d-bffa-4a03-adc2-0813aef23932,Mistrzejowice,RatherSafe,2.396909640651408,Krakow
70707,01b14ff7-def9-467f-a8f4-fcc46b11e45b,Bronowice,NotSafe,1.6505075202247952,Krakow
70773,226af5c8-2a9e-47e7-a7da-08a892dadf99,Dębniki,NotSafe,1.1287407151946223,Krakow
70861,0751a3fe-834b-49d7-ac89-49ec2085efda,Krowodrza,RatherSafe,2.45408874285598,Krakow
71123,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,1.6273317849320363,Krakow
71125,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,2.392289587951921,Krakow
71155,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,2.3785270212067466,Krakow
71156,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,1.8345245084715378,Krakow
71158,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,2.2285736916290806,Krakow
71158,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,2.21830610896199,Krakow
71159,48eb1c7d-a69a-4439-baf9-a68c78573152,Nowa Huta,NotSafe,3.7672912912501793,Krakow
71190,c0cfad59-4299-4ecc-ab7c-96b4ab498c70,Dębniki,NotSafe,4.084710335900532,Krakow
71439,3e845c44-a286-49bd-bf16-a814a9ec4521,Nowa Huta,NotSafe,3.59106250105778,Krakow
71440,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,0.9798723832634298,Krakow
71441,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,3.3533477573475063,Krakow
71472,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,2.9643342036980913,Krakow
71558,3a7082c5-4c05-4a4f-928c-faa01f1665b2,Dębniki,NotSafe,3.4919299403532693,Krakow
71560,3a7082c5-4c05-4a4f-928c-faa01f1665b2,Dębniki,NotSafe,3.104234490868621,Krakow
71561,f896f1e2-b00e-4701-8570-d77f15acda6d,Zwierzyniec,RatherSafe,0.8903817825276357,Krakow
71587,ef2ac5cf-1e73-44f6-a92f-9dd569e03bc5,Bronowice,NotSafe,3.111109628409554,Krakow
71587,3339841b-cfda-40be-86d9-ea639ab2e6f9,Bronowice,NotSafe,1.9465477930410309,Krakow
71588,7407b3b0-16f2-45d8-8bfa-cd1741cc1c5c,Mistrzejowice,RatherSafe,2.744287977558752,Krakow
71617,4293caf7-22c5-4e05-ba9e-9397982bc9e0,Zwierzyniec,RatherSafe,3.436703701975484,Krakow
71618,4293caf7-22c5-4e05-ba9e-9397982bc9e0,Zwierzyniec,RatherSafe,3.1657587622036125,Krakow
71618,4293caf7-22c5-4e05-ba9e-9397982bc9e0,Zwierzyniec,RatherSafe,3.3152338033227293,Krakow
71645,4293caf7-22c5-4e05-ba9e-9397982bc9e0,Zwierzyniec,RatherSafe,3.5856267238822084,Krakow
71704,c1ff3b06-a457-4fc7-b35e-360864ce282e,Dębniki,NotSafe,2.349462901035339,Krakow
71763,f6ab752f-4237-43a3-a001-bcd7de88f17b,Grzegórzki,RatherSafe,2.258305883864868,Krakow
