"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
12097,17a7a13e-2ca0-4841-b5c4-f68a900449bc,Krakowska,RatherSafe,4,1,6,5,"16022,607506118586",0
15022,02386a65-025f-4910-9771-00cde3864ac9,Zielone,RatherSafe,3,1,5,5,"4353,811623913971",0
15035,5815ee53-f6e1-4af0-8238-673e8e12f6ae,Rzêdzin,NotSafe,6,1,11,11,"34643,588615815104",0
17382,a0930a2a-d8fd-4ca7-ab6f-2c81785ddd35,Starówka,RatherSafe,2,1,3,3,"2497,3858276989768",0
17828,f6f33897-602f-4e15-a3b8-47e2905c11c3,Grabówka,NotSafe,4,1,1,1,"879,7858513130549",0
17833,f6f33897-602f-4e15-a3b8-47e2905c11c3,Grabówka,NotSafe,4,1,5,4,"7527,827348015006",0
18153,ec53a74d-4b0e-421d-a77c-ca90a0f83416,Zielone,RatherSafe,5,1,14,14,"23040,969525836033",0
18497,f37b600c-8dae-46b1-827b-943fdbeb9d0b,Grabówka,NotSafe,6,1,7,7,"5243,069368062072",0
19272,3ef1b531-290d-4af6-9205-261cdaf95cf5,Grabówka,NotSafe,4,1,3,3,"2651,5353199536476",0
20183,d3a50dd7-1d4e-4c4f-a8ff-c3e0e04424c7,Moœcice,RatherSafe,5,1,1,1,"1445,8733569458352",0
20184,d3a50dd7-1d4e-4c4f-a8ff-c3e0e04424c7,Moœcice,RatherSafe,5,1,2,1,"2912,4345202508425",0
20185,d3a50dd7-1d4e-4c4f-a8ff-c3e0e04424c7,Moœcice,RatherSafe,5,1,3,1,"3169,2049844555754",0
20295,d3a50dd7-1d4e-4c4f-a8ff-c3e0e04424c7,Moœcice,RatherSafe,5,2,3,1,"2019,9596128722565",0
21275,94618fd0-089d-4665-b47e-fa14a62baa04,Grabówka,NotSafe,5,1,1,1,"527,6206970501929",0
21280,94618fd0-089d-4665-b47e-fa14a62baa04,Grabówka,NotSafe,5,1,5,4,"8673,769932208339",0
22310,5115ba41-82fa-47a9-9a2a-67183d1a94a1,Gumniska-Zab³ocie,NotSafe,2,1,4,4,"3588,263734055436",0
22920,6439f885-95e7-45f9-aed5-ec0618b10a99,Zielone,RatherSafe,3,1,1,1,"795,1278367185012",0
22921,6439f885-95e7-45f9-aed5-ec0618b10a99,Zielone,RatherSafe,3,1,2,1,"1679,0266307843926",0
25194,b574d5f7-ce13-4304-b1c8-c933fd304555,Legionów Henryka D¹browskiego,RatherSafe,3,1,2,2,"1000,2527400089251",0
25493,e97c028e-a3cb-4bb4-a6c4-96d9a8258301,Piaskówka,NotSafe,3,1,3,3,"2046,0283821832354",0
28834,0f21f897-a5ef-4cd6-a8fb-cab74f527daa,Krakowska,RatherSafe,2,1,5,5,"3672,402162160841",0
34693,378285f5-6359-4990-a1c9-bd3e18be82b8,Koszyce,RatherSafe,3,1,4,4,"3337,6589018406935",0
34840,b05eecb6-75a3-46be-b1f4-6a15800950f1,Grabówka,NotSafe,5,1,11,11,"7488,195738035907",0
36208,42692862-62c8-49df-aa9c-d21117046ec0,Legionów Henryka D¹browskiego,RatherSafe,3,1,2,2,"1173,7229743715818",0
36265,f6f9e92f-2f42-4535-80f7-25ed9f90837f,Moœcice,RatherSafe,3,1,5,5,"3663,8719517315744",0
38137,8bb619db-344c-4d3d-8db8-c14c6041c5b0,Piaskówka,NotSafe,2,1,4,4,"4125,770876703339",0
40217,a7eaee25-12de-4f70-9fe9-4033eb6bafc6,Krakowska,RatherSafe,4,1,4,4,"2972,798127732161",0
