"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
36037,4ce4bd50-4ff0-4d29-bf55-c1ecaf63ee2d,Pr¹dnik Czerwony,RatherSafe,3,1,3,3,"6176,598310974394",0
38152,06e188f0-e33b-47c3-8813-4eb489f452da,Grzegórzki,RatherSafe,3,1,1,1,"1085,699851361254",0
38152,06e188f0-e33b-47c3-8813-4eb489f452da,Grzegórzki,RatherSafe,3,1,2,1,"753,4566820322509",0
38970,eba992ea-85a6-41d7-a292-f638ea521252,Nowa Huta,NotSafe,3,1,2,2,"3402,7251405939005",0
40287,086f26f9-eb19-48c3-a1c3-10b36b6b7e55,Stare Miasto,NotSafe,5,1,1,1,"175,55803522698577",0
40295,086f26f9-eb19-48c3-a1c3-10b36b6b7e55,Stare Miasto,NotSafe,5,1,8,7,"12022,088712761917",0
40526,4aec0d65-f1a1-45dd-9f2c-8d9a5f8387a0,Czy¿yny,RatherSafe,5,1,2,2,"4335,2463328947115",0
40527,4aec0d65-f1a1-45dd-9f2c-8d9a5f8387a0,Czy¿yny,RatherSafe,5,1,3,1,"233,42404269539244",0
40556,4aec0d65-f1a1-45dd-9f2c-8d9a5f8387a0,Czy¿yny,RatherSafe,5,1,4,1,"2353,0224397102616",0
41067,122142a6-3704-4a0a-90b3-db7baef68ef1,Podgórze Duchackie,NotSafe,4,1,2,2,"1639,048644472451",0
41101,122142a6-3704-4a0a-90b3-db7baef68ef1,Podgórze Duchackie,NotSafe,4,1,3,1,"1540,8875537245096",0
41440,99161c8c-89ff-47f6-bbf8-a5330764376c,£agiewniki-Borek Fa³êcki,RatherSafe,3,1,1,1,"1321,3996789690516",0
41471,99161c8c-89ff-47f6-bbf8-a5330764376c,£agiewniki-Borek Fa³êcki,RatherSafe,3,1,2,1,"2969,5604312669457",0
41499,dc088d4a-96e2-4204-9360-a83087a0ba92,Pr¹dnik Czerwony,RatherSafe,4,1,1,1,"1549,3347013062507",0
41527,dc088d4a-96e2-4204-9360-a83087a0ba92,Pr¹dnik Czerwony,RatherSafe,4,1,2,1,"3440,5989026218044",0
41846,dc088d4a-96e2-4204-9360-a83087a0ba92,Pr¹dnik Czerwony,RatherSafe,4,3,1,1,"3540,6705014279896",0
42536,0d07d279-6277-432a-af98-3e45f866f3df,Nowa Huta,NotSafe,6,1,1,1,"963,3934725477945",0
42669,dc077165-4138-4808-b417-955620033188,Bieñczyce,RatherSafe,5,1,1,1,"1672,7902323984417",0
42670,dc077165-4138-4808-b417-955620033188,Bieñczyce,RatherSafe,5,1,2,1,"3297,656611988578",0
42724,373f53c7-b34a-46e6-a502-fc2be8dd22ee,Podgórze Duchackie,NotSafe,2,1,1,1,"2768,610710414492",0
43016,dc077165-4138-4808-b417-955620033188,Bieñczyce,RatherSafe,5,3,1,1,"3364,7131487025376",0
43049,dc077165-4138-4808-b417-955620033188,Bieñczyce,RatherSafe,5,3,2,1,"3577,116017502953",0
43570,0d07d279-6277-432a-af98-3e45f866f3df,Nowa Huta,NotSafe,6,2,1,1,"3370,659477129872",0
45140,0d07d279-6277-432a-af98-3e45f866f3df,Nowa Huta,NotSafe,6,3,1,1,"3425,2367121687325",0
45459,5676ac2e-e001-41ff-a746-d0212b446614,Zwierzyniec,RatherSafe,2,1,1,1,"3581,2243237847097",0
45718,3fa6a294-66c2-4c55-8bc9-125c2eb31c6c,Zwierzyniec,RatherSafe,3,1,1,1,"3491,1646076065963",0
45772,3fa6a294-66c2-4c55-8bc9-125c2eb31c6c,Zwierzyniec,RatherSafe,3,1,2,1,"2788,534036391343",0
46195,67a569fd-3bcc-4c85-8894-469a4083b966,Bronowice,NotSafe,3,1,3,3,"10068,239441773378",0
47756,4bdb9f5f-395d-4702-aed2-a77de43ca03d,Podgórze Duchackie,NotSafe,3,1,3,3,"2076,838583432056",0
48852,d048f4dc-e185-4e96-983c-5f3e2919947a,Pr¹dnik Bia³y,Safe,3,1,1,1,"3422,0095708006875",0
49038,d048f4dc-e185-4e96-983c-5f3e2919947a,Pr¹dnik Bia³y,Safe,3,1,2,1,"3495,8498970606347",0
50260,e6cb22c7-cf0e-4e73-b5ca-b66e2facbef2,Pr¹dnik Czerwony,RatherSafe,5,1,2,2,"3522,1273068119153",0
50296,e6cb22c7-cf0e-4e73-b5ca-b66e2facbef2,Pr¹dnik Czerwony,RatherSafe,5,1,8,6,"17265,047508019743",0
52065,01ae6a96-56f6-4bdf-a99b-4e748ef84920,Zwierzyniec,RatherSafe,2,1,3,3,"5795,875981067506",0
52685,4a6647b5-b57d-462f-8ae0-eb4f46059bd8,Mistrzejowice,RatherSafe,2,1,1,1,"1522,022796282356",0
53826,83671684-25c4-41cd-b245-337f5225148f,Bronowice,NotSafe,4,1,3,3,"9653,922294052449",0
56123,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,5,1,1,1,"1464,1003447950002",0
56125,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,5,1,3,2,"5987,523936955928",0
56209,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,5,1,4,1,"3397,4883645045084",0
58982,4452a90b-ca4e-46fa-899e-7556b687d902,Bie¿anów-Prokocim,Safe,3,1,2,2,"1590,5569796919517",1
